event_time,event_id,event_type,product_id,category_id,brand,price,cum_sum,points_earned,user_id,tier_id,tier_name,user_session,earn_rate
2/2/2022,registration1,registration,,,1,0,0,10,348405118,,Bronze,registration1,0
2/3/2022,event1,purchase,5809911,1.6E+18,2,5.24,5.24,5,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
2/3/2022,event1,purchase,5854832,1.6E+18,2,5.24,10.48,5,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
2/23/2022,event2,bonus,5848413,1.49E+18,4,0.79,11.27,1,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
2/24/2022,event3,bonus,5903972,1.49E+18,4,1.59,12.86,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
3/7/2022,event4,bonus,5904256,1.49E+18,2,1.59,14.45,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
3/11/2022,event5,bonus,5904747,1.49E+18,2,1.59,16.04,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
3/24/2022,event6,bonus,5862313,1.49E+18,1,0.79,16.83,1,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
3/25/2022,event7,purchase,5904253,1.49E+18,2,1.59,18.42,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
3/25/2022,event7,purchase,5904271,1.49E+18,1,1.59,20.01,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
4/11/2022,event8,bonus,5904369,1.49E+18,1,1.59,21.6,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
4/30/2022,event9,purchase,5884237,1.49E+18,4,1.75,23.35,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
5/1/2022,event10,bonus,5903984,1.49E+18,1,1.59,24.94,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
5/2/2022,event11,purchase,5809910,1.6E+18,2,5.24,30.18,5,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
5/19/2022,event12,bonus,5904251,1.49E+18,1,1.59,31.77,2,348405118,,Bronze,722ffea5-73c0-4924-8e8f-371ff8031af4,1
5/23/2022,event13,redemption,5809910,1.6E+18,2,0,31.77,-5,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,0
6/12/2022,event14,bonus,5655060,1.49E+18,3,1.43,33.2,1,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
7/8/2022,event15,purchase,5904256,1.49E+18,2,1.59,34.79,2,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
7/8/2022,event15,purchase,5904271,1.49E+18,4,1.59,36.38,2,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
7/8/2022,event15,purchase,5903972,1.49E+18,3,1.59,37.97,2,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
7/8/2022,event15,purchase,5829306,1.49E+18,2,5.56,43.53,6,348405118,,Bronze,aa444e43-10ab-4afd-9146-ff03b7453417,1
